rank_usnews_2025,uni_name,variable,Coded Value,Original Text Segment,Rationale,retrieval_rd1(2025.7.14-7.30),retrieval_rd2(2025.8.1-8.20),retrieval_rd3(8.22-9.21)
,,D3_responsibility,1, "It is the responsibility of the tool user to review the accuracy and ownership of any AI-generated content.","It explicitly assigns the responsibility for verifying ""accuracy"" and ""ownership (copyright)"" to the users themselves, thereby establishing a user accountability system.",2025/7/18,2025/8/6,2025/8/29
,,D4_ai_as_aid,1, "Generative AI tools offer many capabilities and efficiencies that can greatly enhance our work.","It is believed that AI can enhance work efficiency and capabilities, positioning it as a promising tool for boosting productivity.",2025/7/18,2025/8/6,2025/8/29
27,Duke University,D1_tech_limit,1,"""Don’t trust anything it says... can produce hallucinations, biases, and inaccuracies."" and pointing out the inaccuracy of detection software and the bias against non-native speakers.","It provides a detailed enumeration of hallucinations, factual errors, and the limitations of detection tools, meeting the established criteria.",2025/7/18,2025/8/6,2025/8/30
,,D2_proactive,1,Suggesting that instructors require the submission of AI interaction records (Transcripts) as an appendix; and encouraging the use of "reflective writing" to document the AI-assisted process.,"A management model has been established that shifts from ""outcome monitoring"" to ""process documentation"" and ""reflective evaluation,"" representing a typical form of proactive governance.",2025/7/18,2025/8/6,2025/8/30
,,D3_responsibility,1,"""You will be responsible for any errors or omissions provided by the tool."" and emphasizing that integrity is an asset to one's personal reputation.","Users are explicitly required to assume full responsibility for any errors or omissions in AI-generated content, elevating this accountability to the level of personal credibility and professional assets.",2025/7/18,2025/8/6,2025/8/30
,,D4_ai_as_aid,1, "leveraging generative AI tools as part of the intellectual work... define AI as a tool for learning.","It is regarded as an auxiliary tool for learning and intellectual work, with a clear focus on leveraging AI to facilitate rather than hinder the learning process.",2025/7/18,2025/8/6,2025/8/30
28,Nanyang Technological University,D1_tech_limit,1," ""risks associated with GenAI use... include inaccurate outputs (or falsehoods), bias... and infringement of intellectual property.""","It explicitly enumerates the risks associated with AI outputs, including inaccuracies (misinformation), biases, and copyright infringement, which align with the established criteria for assessment.",2025/7/18,2025/8/6,2025/8/30
,,D2_proactive,1,"Referencing the UNESCO decision-making flowchart (Figure 1); and requiring detailed documentation of the ""tools, methods, and parameters"" used to generate images to ensure reproducibility.","A management model based on ""transparent disclosure"" and ""research process documentation"" has been established, transforming the use of AI into an auditable research methodology.",2025/7/18,2025/8/6,2025/8/30
,,D3_responsibility,1,"Researchers who use AI tools... must use it in a responsible, accountable, and transparent manner... will be held responsible for any leakage of confidential data.","It emphasizes ""Accountability"" and explicitly stipulates that researchers bear full responsibility for content accuracy and data breaches, positioning accountability at an exceptionally high level.",2025/7/18,2025/8/6,2025/8/30
,,D4_ai_as_aid,1, "provides new tools to support the preparation... has the potential to enhance the quality and efficiency of research.","It is positioned as an auxiliary tool to support research preparation, enhance efficiency, and provide ""new research models,"" and a positive and supportive attitude is maintained.",2025/7/18,2025/8/6,2025/8/30
29,University of Sydney,D1_tech_limit,1, "generative AI models do not ‘know’ anything... may include entirely false information (also known as ‘AI hallucinations’)... reflect the biases of the material.",It provides a detailed explanation of the predictive nature of AI and explicitly identifies the risks of hallucinations and biases.,2025/7/19,2025/8/6,2025/8/30
,,D2_proactive,1,Implementing a "Dual-lane System": Lane 1 (Secure/Human-AI Isolation) and Lane 2 (Open/Human-AI Collaboration). Providing specific declaration templates and Appendix requirements.,"An exceptionally refined governance framework has been established, proactively guiding AI application scenarios through the classification of evaluation types (Secure vs. Open), representing a top-tier model of proactive governance.",2025/7/19,2025/8/6,2025/8/30
,,D3_responsibility,1,"""You are responsible for the work that you submit... ensure that you take ownership for your final work.""","It is explicitly stipulated that students must assume ownership and ultimate responsibility for submitted works, ensuring clear accountability.",2025/7/19,2025/8/6,2025/8/30
,,D4_ai_as_aid,1, "Learning to use AI tools productively and responsibly is an important part of developing digital literacy.","View AI usage as an essential component of ""digital literacy,"" positioning it as a productivity tool to assist students in adapting to future changes.",2025/7/19,2025/8/6,2025/8/30
30,University of Melbourne,D1_tech_limit,1,"Stating that Turnitin’s AI detection report is ""not proof"" but only a signal indicating the need for further investigation, emphasizing the uncertainty of technical tools.",Acknowledging the limitations of detection tools and requiring their use in conjunction with human "academic judgment" aligns with the established criteria.,2025/7/19,2025/8/6,2025/8/31
,,D2_proactive,1,Suggesting that investigations include checking "file metadata"; requiring students to provide "working drafts" and explain the completion process.,"A management model has been established, shifting from simple outcome detection to the verification of the ""evidence chain of the creative process,"" which constitutes proactive governance.",2025/7/19,2025/8/6,2025/8/31
,,D3_responsibility,1, "it is your responsibility to check the assessment guidelines... understand what is expected of you.","The responsibility for ""understanding the rules"" and ""proper citation"" is explicitly assigned to students, with the stipulation that the use of AI without attribution constitutes academic misconduct.",2025/7/19,2025/8/6,2025/8/31
,,D4_ai_as_aid,1,"Mentioning that AI tools can be used for the ""preparation of the submission,"" and recognizing that different disciplines have varying levels of acceptance towards AI.",Recognize the potential of AI as a tool for academic preparation and emphasize its differentiated applications across various disciplines.,2025/7/19,2025/8/6,2025/8/31
31,Washington University (WUSTL),D1_tech_limit,1," ""AI tools sometimes ‘hallucinate,’ generating content that can be highly convincing, but inaccurate, misleading, or entirely fabricated.""","The term ""hallucination"" is explicitly used, and the deceptive nature of AI-generated content (highly convincing but inaccurate) is highlighted, meeting the established criteria.",2025/7/19,2025/8/7,2025/8/31
,,D2_proactive,1,Mentioning AI-enabled phishing attacks; and establishing a centralized AI process through university-wide academic integrity coordinators.,Extending governance to cybersecurity defense and addressing AI disputes through centralized administrative measures (rather than relying solely on software detection) aligns with the principles of proactive governance.,2025/7/19,2025/8/7,2025/8/31
,,D3_responsibility,1,"""It is the responsibility of the user to protect sensitive data and verify content... Each individual is responsible for any content that is produced or published.""",Explicitly placing the full responsibility for data protection and content verification on users (Individual responsibility) aligns with the criteria for accountability assignment.,2025/7/19,2025/8/7,2025/8/31
,,D4_ai_as_aid,1, "The university supports and encourages the responsible and secure exploration of AI tools... to enhance the design of lessons and assessments.","It is positioned as an auxiliary tool to support exploration and enhance instructional design, with a proactive and pragmatic approach.",2025/7/19,2025/8/7,2025/8/31
32,New York University,D1_tech_limit,1," ""content generated by AI may be biased, made up, inaccurate, not up to date... Beware of cognitive biases.""","It clearly states that AI-generated content may contain biases, fabrications, and outdated information, and reminds students to be vigilant against ""cognitive biases,"" which aligns with the evaluation criteria.",2025/7/19,2025/8/7,2025/8/31
,,D2_proactive,1,Officially providing Gemini and NotebookLM; requiring students to maintain a record of each step to demonstrate the creative process; and introducing the "Open Inquiry Toolkit.","By offering specific academic enhancement tools (NotebookLM) and establishing a dialogue mechanism based on ""process evidence"" rather than solely relying on outcome screening, this approach constitutes proactive governance.",2025/7/19,2025/8/7,2025/8/31
,,D3_responsibility,1, "Students take responsibility for demonstrating these values in their own conduct... Ensure that your final work is your own.","Students must adhere to NYU's regulations within the complex and diverse educational context and bear full responsibility for the originality of their final work, with clearly defined accountability.",2025/7/19,2025/8/7,2025/8/31
,,D4_ai_as_aid,1,Citing the economic perspective "It's somebody using AI that will take your job." Positioning AI as a core tool for future professional competitiveness.,"Clearly position AI as an essential professional competency (Future of Work), rather than merely an academic aid.",2025/7/19,2025/8/7,2025/8/31
33,University of Amsterdam,D1_tech_limit,1, "answers may sound plausible but still contain inaccuracies... based on probabilities and statistics... contain harmful biases and stereotypes.","The detailed explanation of AI's nature, which is based on probability and statistics rather than factual verification, along with the identification of risks related to bias and stereotypes, aligns with the established criteria.",2025/7/19,2025/8/7,2025/9/1
,,D2_proactive,1,Prohibiting the use of commercial tools like ChatGPT; mandating the promotion of the self-developed tool "UvA AI Chat"; and developing mandatory or recommended AI Literacy e-modules.,"By offering a controlled self-developed platform and establishing technical entry barriers (prohibiting non-compliant tools), this represents an exceptionally assertive and quintessential form of proactive governance.",2025/7/19,2025/8/7,2025/9/1
,,D3_responsibility,1,"""It is your responsibility to check texts... You are at all times responsible for the quality of your work.""","It is explicitly stipulated that regardless of the tools used, students bear absolute responsibility for the quality, accuracy, and potential biases of their final work.",2025/7/19,2025/8/7,2025/9/1
,,D4_ai_as_aid,1,"""AI must not do your work for you... serve as a helpful assistant or a digital study partner.""","Emphasizing that AI serves as a ""digital learning partner"" rather than a ""ghostwriter,"" positioning it as an auxiliary tool to enhance students' academic skills.",2025/7/19,2025/8/7,2025/9/1
34,University of New South Wales Sydney,D1_tech_limit,1,"""GenAI tools could produce invalid or unreliable information ('fabrications' or 'hallucinations')... are not high-quality sources.""","It is explicitly stated that AI may generate misinformation (fabrications/hallucinations), with a warning that it does not qualify as a high-quality academic resource, in accordance with the established criteria.",2025/7/19,2025/8/7,2025/9/1
,,D2_proactive,1,Implementing a "Six-level AI Assistance Framework"; recommending that AI be cited as "software"; and requiring students to keep drafts to provide a "rational explanation" of the work process.,"An exceptionally refined six-tier gradient management system has been established, achieving differentiated governance through pre-set auxiliary levels, representing a typical and highly mature form of proactive governance.",2025/7/19,2025/8/7,2025/9/1
,,D3_responsibility,1, "If you are unable to satisfactorily demonstrate your understanding of your submission... you may be referred to UNSW Conduct & Integrity Office.","The requirement for an ""oral defense/plausible explanation"" has been introduced. If students are unable to demonstrate their understanding of the submitted work, they may face investigation even in the absence of direct evidence of cheating. The allocation of responsibility is clearly defined.",2025/7/19,2025/8/7,2025/9/1
,,D4_ai_as_aid,1," ""UNSW supports and nurtures the ethical and responsible use of AI in research, learning, teaching...""","It is positioned as a strategic tool to support academic research and teaching, encouraging proactive exploration within an ethical framework.",2025/7/19,2025/8/7,2025/9/1
35,ETH Zurich,D1_tech_limit,1,"""Output is neither reproducible nor reliable... many sources have not yet been digitised and are not accessible online."" As well as warnings about fabricated facts, dead links, and citation bias.","It not only highlights the risks of hallucination and unreliability but also points out, from the perspective of ""data integrity,"" that AI cannot cover non-digital literature, which aligns with the evaluation criteria.",2025/7/20,2025/8/7,2025/9/1
,,D2_proactive,1,"Distinguishing between open tools and ""Closed tools""; requiring mandatory disclosure in the ""Statement of Originality""; and providing detailed declaration forms (including tools, timing, tasks, and specific sections).",The implementation of proactive governance is achieved through the establishment of standardized disclosure templates (Declaration table) and the promotion of authorized closed tools within the university for compliance management.,2025/7/20,2025/8/7,2025/9/1
,,D3_responsibility,1," ""As an author, you remain responsible for your research... you can be held liable if the output you reuse infringes the rights of third parties.""","It is explicitly stipulated that authors bear the ultimate legal and ethical responsibility for the scientific accuracy of their content and the risks of copyright infringement, ensuring clear delineation of accountability.",2025/7/20,2025/8/7,2025/9/1
,,D4_ai_as_aid,1, "Support the use of such tools... provided that they are used responsibly... only use for supportive purposes.","It is explicitly defined as a ""supportive"" tool and strictly prohibited from being listed as a co-author, reflecting an attitude of support coupled with stringent restrictions.",2025/7/20,2025/8/7,2025/9/1
36,King's College London,D1_tech_limit,1," ""These tools are NOT databases of knowledge... predict combinations of plausible words... generate biased, incorrect, or misleading information.""","It is explicitly stated that AI is a probabilistic predictor rather than a knowledge repository, with warnings about its risks of factual inaccuracies and biases, aligning with the established criteria.",2025/7/20,2025/8/8,2025/9/2
,,D2_proactive,1,"Developing a four-level usage framework (Minimal, Limited, Open, Embedded); establishing ""Academic Integrity Meetings (AIM)"" as an investigation mechanism; and requiring students to log in to Copilot using their KCL accounts.","Management is conducted through tiered teaching access standards and standardized offline audit procedures (AIM), which exemplifies proactive governance.",2025/7/20,2025/8/8,2025/9/2
,,D3_responsibility,1, "Any work submitted must represent a genuine demonstration of your own work... you must be involved in the development of the manuscript.","The work must genuinely reflect the student's skills, with the student retaining ownership and bearing full responsibility for the final output.",2025/7/20,2025/8/8,2025/9/2
,,D4_ai_as_aid,1, "King's does not ban the use of any type of AI... augment our creativity and productivity.","It is explicitly stated that AI is not prohibited; rather, it is positioned as a tool to enhance creativity and productivity, with active promotion of AI literacy education.",2025/7/20,2025/8/8,2025/9/2
37,Chinese University of Hong Kong,D1_tech_limit,1," ""AI tools should be approached critically... some current models may confidently reassert factual errors... detect fabrications, misrepresentations and fallacies.""","It explicitly states that AI may ""confidently reiterate factual inaccuracies"" and requires students to possess the ability to identify ""fallacies,"" aligning with the established criteria.",2025/7/20,2025/8/8,2025/9/2
,,D2_proactive,1,Establishing four access modes (ranging from prohibited to fully permitted); upgrading VeriGuide to include AI detection capabilities; and requiring AI outputs to be submitted as an "Appendix" when necessary.,"Through the refinement of four teaching scenarios and the iterative development of the technical platform (VeriGuide), a transition from prevention and blockage to categorized management has been achieved, representing a form of proactive governance.",2025/7/20,2025/8/8,2025/9/2
,,D3_responsibility,1,"""Users of AI tools are accountable for the AI-generated results included in their work... Users will be responsible for any errors or omissions.""","The term ""accountability"" is explicitly used, stipulating that students bear full responsibility for any errors or omissions in their work, thereby clearly defining the locus of responsibility.",2025/7/20,2025/8/8,2025/9/2
,,D4_ai_as_aid,1," ""AI is a double-edged sword... users should use AI to think with them, and not for them.""","It is positioned as a tool for ""collaborative thinking"" rather than a device for ""substituting thinking,"" emphasizing its positive value as a research aid.",2025/7/21,2025/8/8,2025/9/2
38,Monash University,D1_tech_limit,1,"""Highly variable... tools often falsify references and make-up quotes which aren’t always easily detectable... overly generalised responses.""","It clearly identifies the act of AI fabricating literature citations and warns that its generated content may exhibit misleading ""generalizations,"" which aligns with the established criteria for assessment.",2025/7/21,2025/8/8,2025/9/2
,,D2_proactive,1,Integrating AI inquiry sessions into Progress Reviews; including AI usage questionnaires in the online thesis submission form; and developing the specific "GRAICE" strategy.,"Embedding AI oversight into the long-term research management cycle and administrative forms, rather than relying solely on technical plagiarism checks, exemplifies proactive governance.",2025/7/21,2025/8/8,2025/9/2
,,D3_responsibility,1, "Monash University expects that all Generative AI use in research complies with the Australian Code for the Responsible Conduct of Research.","Linking AI usage to the national-level *Australian Code for the Responsible Conduct of Research* elevates accountability to the standard of national compliance, positioning it at an exceptionally high level.",2025/7/21,2025/8/8,2025/9/2
,,D4_ai_as_aid,1, "Offer exciting opportunities for enhancing research and driving innovation.",It is positioned as a proactive tool for advancing scientific research innovation and enhancing research capabilities.,2025/7/21,2025/8/8,2025/9/2
39,University of Edinburgh,D1_tech_limit,1," ""perpetuate harmful biases, fabricate information and make errors... often appears convincing and reliable, their behaviour is strongly influenced by the data.""","It profoundly points out the ""pseudo-reliability"" of AI and data biases, while warning students that they will be held accountable for these errors.",2025/7/21,2025/8/8,2025/9/3
,,D2_proactive,1,Providing an official platform "ELM" (integrating GPT and local Llama models); requiring the maintenance of an "Audit trail"; and strictly prohibiting the use of AI translators for submitting English-language assignments.,"By offering privacy-preserving alternative tools (ELM) and establishing procedural audit mechanisms (Audit trail), risks are managed proactively, which constitutes proactive governance.",2025/7/21,2025/8/8,2025/9/3
,,D3_responsibility,1,"""The University trusts you to act with integrity... You will be held accountable for these errors and biases if you include them in assessed work.""","Based on the principle of trust, it is also explicitly stipulated that students bear absolute academic responsibility for biases and errors generated by AI, ensuring clear accountability.",2025/7/21,2025/8/8,2025/9/3
,,D4_ai_as_aid,1,"""developing skills in the responsible use of generative AI is important... help you thrive in a changing world.""","AI skills are explicitly regarded as essential competencies for future life and work, reflecting an open-minded and forward-looking attitude.",2025/7/21,2025/8/8,2025/9/3
40,Icahn School of Medicine at Mount Sinai,D1_tech_limit,1," ""AI reflects data patterns not true reasoning... can introduce bias, discrimination... verify its output for bias and accuracy.""","It clearly distinguishes between the ""pattern recognition"" nature of AI and the ""genuine reasoning"" of humans, while highlighting the potential risks of bias and discrimination it may introduce in medical settings, which aligns with the evaluation criteria.",2025/7/21,2025/8/9,2025/9/3
,,D2_proactive,1,Providing ChatGPT Edu and ISMMS Gemini exclusive instances; introducing a "Mentor–Learner Agreement" on AI usage; and strictly prohibiting the upload of student work to public detection tools.,"By offering a regulated, medical-grade AI environment and establishing specific contractual management tools (agreement templates), compliance is embedded into medical research and clinical workflows, which constitutes proactive governance.",2025/7/21,2025/8/9,2025/9/3
,,D3_responsibility,1, "Ensure the academic integrity of the student’s own work... Users will be responsible for securing private data and intellectual property.","Students bear absolute responsibility for data security and content accuracy in clinical, research, and academic contexts, particularly regarding the confidentiality of PHI (Protected Health Information).",2025/7/21,2025/8/9,2025/9/3
,,D4_ai_as_aid,1," ""Embracing these innovations to enhance education, research, patient care... equip our community for these rapid changes.""","It is positioned as a core driver for enhancing patient care, research, and teaching experiences, encouraging the proactive embrace of innovation within an ethical framework.",2025/7/21,2025/8/9,2025/9/3
41,University of British Columbia,D1_tech_limit,1, "Statistical approach... may return results that are believable but are incorrect... perpetuate existing biases that reinforce systemic inequities.","It is explicitly pointed out that the statistical nature of AI may lead to results that are ""plausible yet erroneous,"" while also highlighting the risk of systemic bias.",2025/7/21,2025/8/9,2025/9/3
,,D2_proactive,1,Introducing the Privacy Impact Assessment (PIA) process; requiring that code must be tested in a "Quarantined environment"; and establishing an "Indigenous Guiding Network" consultation mechanism.,Risk management through administrative approval processes (PIA) and specific technical defense measures (isolation testing) exemplifies proactive governance.,2025/7/21,2025/8/9,2025/9/3
,,D3_responsibility,1, "Ensuring the accuracy and appropriateness of generative AI results is the responsibility of the user.","Users bear ultimate responsibility for the accuracy, compliance, and societal impact of AI-generated outcomes.",2025/7/21,2025/8/9,2025/9/3
,,D4_ai_as_aid,1,"""Recognizes the opportunities and transformative potential... foster innovation... tool to assist in our tasks, not a replacement.""","Positioned as a catalyst for innovation and an auxiliary tool, it supports experimentation within ethical boundaries, emphasizing ""assistance rather than replacement.""",2025/7/21,2025/8/9,2025/9/3
42,University of Copenhagen,D1_tech_limit,1,GenAI tools can present false information in a seemingly professional manner… inclusion of such false information may amount to research misconduct…, present false information in a seemingly professional manner,2025/7/22,2025/8/9,2025/9/4
,,D2_proactive,1,"Introducing a mandatory declaration template as a thesis appendix; requiring descriptions of ""Key Prompts,"" generated output, and conversation history (History and iterations); even those who did not use AI must check a box in the template.",Managing AI usage through detailed process audits (recording conversation iterations) and administrative declaration templates constitutes proactive governance.,2025/7/22,2025/8/9,2025/9/4
,,D3_responsibility,1, "We expect exam performances to reflect the student's own learning and independent work... you are not allowed to let GAI write your paper.","It is emphasized that works must reflect students' own learning outcomes, strictly prohibiting ""ghostwriting,"" with clearly defined responsible entities.",2025/7/22,2025/8/9,2025/9/4
,,D4_ai_as_aid,1, "You can use it for dialogue and sparring when writing your exam paper... as a permitted aid.","Position it as an auxiliary tool for ""dialogue and sparring,"" maintaining an open yet regulated approach.",2025/7/22,2025/8/9,2025/9/4
43,University of Queensland,D1_tech_limit,1, "AI will provide only limited support and guidance... help students to understand its ethical and effective use.","Acknowledging the limitations of AI and emphasizing the need for students to develop critical engagement skills, rather than relying on it blindly, aligns with the established criteria.",2025/7/22,2025/8/9,2025/9/4
,,D2_proactive,1,"Simplifying into two access modes; disabling the Turnitin AI detector; introducing Viva Voce (oral examination) to verify understanding; and providing a comparison table of AI policies from major academic publishers (Nature, Elsevier, etc.).",Abandoning unreliable technological detection tools in favor of "authentic assessment" in instructional design and interpersonal review represents a highly mature form of proactive governance.,2025/7/22,2025/8/9,2025/9/4
,,D3_responsibility,1, "Students will be required to demonstrate detailed comprehension... independent of AI and MT tools.","Students are explicitly required to demonstrate an understanding independent of AI, with strict accountability for any unacknowledged use of AI.",2025/7/22,2025/8/9,2025/9/4
,,D4_ai_as_aid,1, "Opportunity to guide our students in using AI responsibly... developing critical judgement... echo UQ values.","View AI as an opportunity to cultivate critical judgment, creativity, and courage, rather than as a threat.",2025/7/22,2025/8/9,2025/9/4
44,University of Hong Kong,D1_tech_limit,1, "GenAI tools can present false information in a seemingly professional manner... Inclusion of such false information... may amount to research misconduct.","It clearly warns against the ""professional disguise"" of AI and the serious consequences (such as research misconduct) that may arise from its errors, meeting the established criteria.",2025/7/22,2025/8/10,2025/9/4
,,D2_proactive,1,Explicitly prohibiting the use of AI in "Peer Review"; mandating that AI-generated code must be verified by qualified personnel; and establishing a linkage mechanism with the detailed "Policy on Management of Research Data and Records.","By implementing prohibitions and verification requirements targeting specific research stages (such as peer review, code development, and experimentation), risks are controlled at the source of knowledge generation, representing a highly proactive form of governance.",2025/7/22,2025/8/10,2025/9/4
,,D3_responsibility,1,"""Regardless of how GenAI tools are used... individual researchers are ultimately responsible... The researcher is ultimately accountable for all the claims.""","It strongly emphasizes the ultimate responsibility of researchers, asserting that regardless of how tools are used, authors must endorse all viewpoints.",2025/7/22,2025/8/10,2025/9/4
,,D4_ai_as_aid,1, "Create new opportunities to accelerate and expand the scope of research... accelerate the software development process.","Regard it as a positive driving force for accelerating scientific research and lowering the threshold for programming, supporting innovation within a transparent framework.",2025/7/22,2025/8/10,2025/9/4
47,Humboldt University of Berlin,D1_tech_limit,1,"""Results can be very precise... but can also be completely fabricated and erroneous.""",It explicitly warns of the "hallucination" phenomenon in AI and requires users to possess the ability to evaluate its quality.,2025/7/22,2025/8/10,2025/9/5
,,D2_proactive,1,Self-building and hosting an Open Source-based KI infrastructure (ki.cms.hu-berlin.de); explicitly stating that using the university's self-built platform exempts users from GDPR restrictions associated with third-party cloud providers.,"By offering self-built alternatives at the level of technological sovereignty, it physically resolves privacy compliance issues, representing an extremely proactive governance approach.",2025/7/22,2025/8/10,2025/9/5
,,D3_responsibility,1,"""Responsibility for further use lies with you.""",Users must be accountable for the accuracy of AI-generated content and should only utilize it when capable of evaluating its quality.,2025/7/22,2025/8/10,2025/9/5
,,D4_ai_as_aid,1,"""HU promotes the use of AI... to engage with it constructively and integrate it securely into our daily work routines.""","Explicitly encourage the application of AI in research, teaching, and administration, with the goal of safely integrating it into daily operations.",2025/7/22,2025/8/10,2025/9/5
48,Universite Paris Cite,D1_tech_limit,0,"None. This charter primarily focuses on system security and legal liability, without addressing technical limitations such as AI hallucinations.",none,2025/7/22,2025/8/10,2025/9/5
,,D2_proactive,1, Emphasizes "Connection Control and Isolation/Blocking"**; explicitly stipulates that access to restricted resources must be conducted through on-campus security facilities (such as VPN).,"Although specific AI platforms are not explicitly mentioned, its rigorous ""data minimization"" and ""third-party authorization"" logic directly restricts students from uploading sensitive research data to unauthorized AI systems.",2025/7/22,2025/8/10,2025/9/5
,,D3_responsibility,1,Emphasizes **"Intellectual Property Respect"** and "Contractual Validity"; strictly prohibits unauthorized copying or distribution of digital content.,Clarity of Accountability Focus – The use of AI-generated content that involves copyright infringement or unauthorized data usage will directly trigger the "Criminal/Civil Liability" provisions outlined in the charter.,2025/7/22,2025/8/10,2025/9/5
,,D4_ai_as_aid,0,"The charter categorizes all digital means as ""IT resources,"" without specifically assigning a teaching-assistive role to generative AI.",none,2025/7/22,2025/8/10,2025/9/5
49,Utrecht University,D1_tech_limit,1, "GenAI generates well-written texts that may contain inaccuracies... check for hallucinations.","It explicitly warns that AI can generate seemingly flawless but factually incorrect text (hallucinations), requiring students to conduct rigorous cross-verification in accordance with established evaluation criteria.",2025/7/23,2025/8/10,2025/9/6
,,D2_proactive,1,Requiring the submission of a "Disclosure Statement" regardless of whether AI was used; mandating the preservation of "Prompt History" (including screenshots); and introducing oral examinations as a verification method.,"By establishing mechanisms such as ""disclosure flows"" and ""process auditing (preserving prompts),"" the focus of governance has shifted from outcome detection to process transparency.",2025/7/23,2025/8/10,2025/9/6
,,D3_responsibility,1,"""You remain fully responsible for what you submit... GenAI should be seen as a tool and not an author.""",It explicitly denies AI the "authorial qualification" and places all final legal and academic responsibility for the content on the students themselves.,2025/7/23,2025/8/10,2025/9/6
,,D4_ai_as_aid,1," ""Advocating for a human-centred, balanced, and ethical approach... complementary aids and not substitutes.""","It is positioned as a ""human-centric"" auxiliary tool, designed to be integrated into academic research in a balanced and ethical manner.",2025/7/23,2025/8/10,2025/9/6
50,KU Leuven,D1_tech_limit,1,"""Output... is not 100% reliable... GenAI can also generate false references... output is highly dependent on the quality of training data.""","The document provides a detailed enumeration of the technical limitations of AI in terms of factual accuracy, authenticity of citations, and biases in synthetic data.",2025/7/23,2025/8/10,2025/9/6
,,D2_proactive,1,Introducing a "GenAI Code of Conduct and Transparency Statement"; providing specific guidance on the generation and quality assessment of "Synthetic Data"; and formulating strict AI restrictions for papers under "Embargo.","Through differentiated codes of conduct and compliance guidance tailored to cutting-edge research needs (such as synthetic data), a shift from ""prohibition and restriction"" to ""regulated use"" has been achieved, enabling deep-level governance.",2025/7/23,2025/8/10,2025/9/6
,,D3_responsibility,1, "You always make sure that the use of GenAI does not interfere with an examiner's evaluation... refer to the original source or author.",Students are responsible for ensuring that the use of AI does not compromise the assessment of learning objectives and bear lifelong accountability for source tracking.,2025/7/23,2025/8/10,2025/9/6
,,D4_ai_as_aid,1, "Use of GenAI below is allowed unless it is explicitly stated that it is not... similar to the spelling and grammar check tools we already have.","Position it as a daily auxiliary tool akin to spell-checking, establishing its legitimate status by default within the academic workflow.",2025/7/23,2025/8/10,2025/9/7
51,University of North Carolina Chapel Hill,D1_tech_limit,1," ""AI can fabricate content, reflect biases, and misrepresent sources... verification is your responsibility.""","It explicitly warns of the risks associated with AI-generated fabrications (hallucinations) and biases, with particular emphasis on the necessity for nursing students to verify information against peer-reviewed sources.",2025/7/23,2025/8/11,2025/9/7
,,D2_proactive,1,"Prohibiting the input of HIPAA-regulated data into public AI; requiring students to ""defend their work"" in response to suspected AI use; and sub-dividing AI usage into three distinct regulatory zones: ""Clinical Practice,"" ""Classroom Learning,"" and ""Scientific Research.""","Through specialized regulations targeting nursing practices, clinical decision support, and privacy laws (HIPAA), a shift has been achieved from general guidelines to industry-specific professional governance.",2025/7/23,2025/8/11,2025/9/7
,,D3_responsibility,1,"""AI should help you think, not think for you... You are 100% responsible for the accuracy and integrity of your submitted work.""","The core philosophy is unequivocally clear, emphasizing that students bear absolute and inescapable responsibility for their outcomes.",2025/7/23,2025/8/11,2025/9/7
,,D4_ai_as_aid,1, "AI offers powerful tools for advancing learning... supportive tool—not a substitute—for human thinking.","Positioned as a ""thinking assistant"" rather than a ""replacement,"" it encourages the use of AI to enhance efficiency while adhering to professional standards.",2025/7/23,2025/8/11,2025/9/7
52,Karolinska Institutet,D1_tech_limit,1,"Citing 2024-2025 studies from Nature and neuroscience journals to discuss the potential negative impacts of AI on high-order executive functions, memory, and ""Cognitive Debt.""","The guide delves deeply into the long-term harm of outsourcing cognitive tasks to AI on the brain and critical thinking, going far beyond general warnings about factual inaccuracies.",2025/7/24,2025/8/11,2025/9/7
,,D2_proactive,1,Distinguishing between Microsoft Copilot (Data Protection version) and the Commercial version; specific transparency requirements for the Literature Review section (Kappa) of doctoral theses; and differentiating between "Modify Text" versus "Suggest Adjustments" as two distinct prompting strategies.,"By providing examples of protected AI tools and guiding students on how to maintain learning effectiveness through specific prompt techniques, a strategic shift from technical control to cognitive protection has been achieved.",2025/7/24,2025/8/11,2025/9/7
,,D3_responsibility,1, "Both the content and the text... should be your own... ensure that you can be accountable for everything.","The emphasis lies in the fact that the core of awarding a doctoral degree is to demonstrate that the student has achieved the expected learning outcomes, and AI cannot substitute for this intellectual accomplishment.",2025/7/24,2025/8/11,2025/9/7
,,D4_ai_as_aid,1, "GenAI tools can be used... to overcome writer’s block... as a starting point.","It is positioned as a springboard to overcome ""writer's block"" and a preliminary research tool, rather than an engine for final output.",2025/7/24,2025/8/11,2025/9/7
53,University of Pittsburgh,D1_tech_limit,1,Pointing out that detectors have high false positive rates and exhibit fairness biases (more likely to mislabel essays by non-native speakers); mentioning that AI hallucinations (fake citations) are evidence in themselves.,"It profoundly recognizes the unreliability of technology and the resulting educational inequity, aligning with the highest evaluation criteria.",2025/7/24,2025/8/11,2025/9/7
